Date,Rate
01-Jan-35,2.5
01-Jan-44,1.58
01-Jan-45,1.5
01-Jan-50,1.62
01-Jan-51,2
01-Jan-55,1.9
01-Jan-56,3.15
01-Jan-57,4.02
01-Jan-58,2.5
01-Jan-59,5.13
01-Jan-60,4.66
01-Feb-60,4.62
01-Mar-60,3.41
01-Apr-60,3.5
01-May-60,2.99
01-Jun-60,3.07
01-Jul-60,3.19
01-Aug-60,2.25
01-Sep-60,1.68
01-Oct-60,2.87
01-Nov-60,3.77
01-Dec-60,3.46
01-Jan-61,3.22
01-Feb-61,2.86
01-Mar-61,3.21
01-Apr-61,3.32
01-May-61,3.17
01-Jun-61,2.55
01-Jul-61,2.63
01-Aug-61,2.51
01-Sep-61,2.42
01-Oct-61,2.49
01-Nov-61,2.42
01-Dec-61,2.93
01-Jan-62,3.1
01-Feb-62,3.17
01-Mar-62,3.1
01-May-62,3.5
01-Jun-62,5.75
01-Sep-62,5.25
01-Oct-62,4.75
01-Nov-62,3.75
01-May-63,3.25
01-Aug-63,3.75
01-Nov-64,4
01-Dec-65,4.5
01-Mar-66,5
01-Feb-67,4.75
01-Apr-67,4.25
01-Sep-67,4.75
01-Nov-67,5.75
01-Jan-68,6.75
01-Mar-68,7.25
01-Jul-68,6.25
01-Sep-68,5.75
01-Dec-68,6.25
01-Mar-69,6.75
01-Jun-69,7.25
01-Jul-69,7.75
01-May-70,7.25
01-Jun-70,6.75
01-Sep-70,6.25
01-Nov-70,5.75
01-Feb-71,5
01-Oct-71,4.5
01-Apr-73,5
01-May-73,5.5
01-Jun-73,6
01-Aug-73,6.5
01-Sep-73,7
31-Mar-74,8
01-May-74,8.5
01-Jul-74,9
01-Nov-74,8.5
01-Jan-75,8
01-Sep-75,8.75
01-Mar-76,9.25
01-Nov-76,8.75
01-Dec-76,8.25
01-Feb-77,7.75
01-May-77,7.25
01-Mar-78,7.75
01-Apr-78,8.25
01-Jul-78,8.75
01-Sep-78,9.25
01-Oct-78,10
01-Nov-78,10.5
01-Jan-79,11
01-Jul-79,11.5
01-Sep-79,12
01-Oct-79,13.75
01-Mar-80,14.54
01-Apr-80,15.42
01-May-80,11.58
01-Jun-80,10.42
01-Jul-80,9.93
01-Aug-80,10.2
01-Sep-80,10.77
01-Oct-80,11.51
01-Nov-80,12.81
01-Dec-80,17.01
01-Jan-81,16.75
01-Feb-81,16.89
01-Mar-81,16.34
01-Apr-81,17.15
01-May-81,18.81
01-Jun-81,18.82
01-Jul-81,19.64
01-Aug-81,20.78
01-Sep-81,19.38
01-Oct-81,18.05
01-Nov-81,15.15
01-Dec-81,14.41
01-Jan-82,14.47
01-Feb-82,14.49
01-Mar-82,14.86
01-Apr-82,15.07
01-Jun-82,16.33
01-Jul-82,15.35
01-Aug-82,14.01
01-Sep-82,12.93
01-Oct-82,11.28
01-Nov-82,10.62
01-Dec-82,10.01
01-Jan-83,9.56
01-Feb-83,9.18
01-Mar-83,9.17
01-Apr-83,9.21
01-May-83,9.13
01-Jun-83,9.17
01-Jul-83,9.26
01-Aug-83,9.32
01-Sep-83,9.27
01-Oct-83,9.2
01-Nov-83,9.38
01-Dec-83,9.79
01-Jan-84,9.73
01-Feb-84,9.79
01-Mar-84,10.51
01-Apr-84,10.57
01-May-84,11.35
01-Jun-84,11.73
01-Jul-84,12.99
01-Aug-84,12.14
01-Sep-84,12.03
01-Oct-84,11.46
01-Nov-84,10.53
01-Dec-84,9.91
01-Jan-85,9.41
01-Feb-85,10.7
01-Mar-85,10.93
01-Apr-85,9.5
01-May-85,9.34
01-Jun-85,9.32
01-Jul-85,9.06
01-Aug-85,8.95
01-Sep-85,9.06
01-Oct-85,8.52
01-Nov-85,8.73
01-Dec-85,9.24
01-Jan-86,10.08
01-Feb-86,11.59
01-Mar-86,10.19
01-Apr-86,9.02
01-May-86,8.18
01-Jun-86,8.59
01-Jul-86,8.38
01-Aug-86,8.33
01-Sep-86,8.38
01-Oct-86,8.37
01-Nov-86,8.22
01-Dec-86,8.24
01-Jan-87,7.49
01-Feb-87,7.34
01-Mar-87,6.89
01-Apr-87,8.01
01-May-87,8.29
01-Jun-87,8.34
01-Jul-87,8.51
01-Aug-87,8.99
01-Sep-87,9.32
01-Oct-87,8.01
01-Nov-87,8.23
01-Dec-87,8.41
01-Jan-88,8.38
01-Feb-88,8.33
01-Mar-88,8.53
01-Apr-88,8.81
01-May-88,8.87
01-Jun-88,9.19
01-Jul-88,9.28
01-Aug-88,9.78
01-Sep-88,10.29
01-Oct-88,10.26
01-Nov-88,10.59
01-Dec-88,10.92
01-Jan-89,11.29
01-Feb-89,11.45
01-Mar-89,12.15
01-Apr-89,12.36
01-May-89,12.15
01-Jun-89,12.06
01-Jul-89,12.07
01-Aug-89,12.15
01-Sep-89,12.22
01-Oct-89,12.18
01-Nov-89,12.22
01-Jan-90,12.04
01-Feb-90,13
01-Mar-90,13.13
01-Apr-90,13.52
01-May-90,13.8
01-Jun-90,13.65
01-Jul-90,13.34
01-Aug-90,12.76
01-Sep-90,12.36
01-Oct-90,12.41
01-Nov-90,12
01-Dec-90,11.53
01-Jan-91,10.63
01-Feb-91,9.77
01-Mar-91,9.67
01-Apr-91,9.41
01-May-91,8.82
01-Jun-91,8.66
01-Jul-91,8.69
01-Aug-91,8.55
01-Sep-91,8.43
01-Oct-91,7.92
01-Nov-91,7.44
01-Dec-91,7.42
01-Jan-92,6.83
01-Feb-92,7.31
01-Mar-92,7.4
01-Apr-92,6.6
01-May-92,6.25
01-Jun-92,5.66
01-Jul-92,5.25
01-Aug-92,4.86
01-Sep-92,5.44
01-Oct-92,7.12
01-Nov-92,8.57
01-Dec-92,7.11
01-Jan-93,6.56
01-Feb-93,5.84
01-Mar-93,5.11
01-Apr-93,5.35
01-May-93,4.85
01-Jun-93,4.54
01-Jul-93,4.16
01-Aug-93,4.65
01-Oct-93,4.38
01-Nov-93,4.11
01-Dec-93,3.86
01-Jan-94,3.63
01-Feb-94,3.85
01-Mar-94,5.39
01-Apr-94,5.82
01-May-94,6.06
01-Jun-94,6.67
01-Jul-94,5.79
01-Aug-94,5.35
01-Sep-94,5.29
01-Oct-94,5.37
01-Nov-94,5.79
01-Dec-94,7.18
01-Jan-95,8.13
01-Mar-95,8.22
01-Apr-95,7.92
01-May-95,7.39
01-Jun-95,6.72
01-Jul-95,6.62
01-Aug-95,6.34
01-Sep-95,6.46
01-Oct-95,7.4
01-Nov-95,5.82
01-Dec-95,5.54
01-Jan-96,5.12
01-Feb-96,5.25
01-Mar-96,5
01-Apr-96,4.75
01-Jul-96,4.5
01-Aug-96,4
01-Oct-96,3.25
01-Nov-96,3
01-Jul-97,3.25
01-Oct-97,3.5
01-Nov-97,3.75
01-Dec-97,4.25
01-Feb-98,4.75
01-Sep-98,5.5
01-Oct-98,5.25
01-Nov-98,5
01-Mar-99,4.75
01-May-99,4.5
01-Nov-99,4.75
31-Dec-00,5.75
22-Jan-01,5.5
05-Mar-01,5
16-Apr-01,4.75
28-May-01,4.5
16-Jul-01,4.25
27-Aug-01,4
16-Sep-01,3.5
22-Oct-01,2.75
26-Nov-01,2.25
14-Jan-02,2
15-Apr-02,2.25
03-Jun-02,2.5
15-Jul-02,2.75
03-Mar-03,3
14-Apr-03,3.25
14-Jul-03,3
02-Sep-03,2.75
19-Jan-04,2.5
01-Mar-04,2.25
12-Apr-04,2
07-Sep-04,2.25
18-Oct-04,2.5
06-Sep-05,2.75
17-Oct-05,3
05-Dec-05,3.25
23-Jan-06,3.5
06-Mar-06,3.75
24-Apr-06,4
23-May-06,4.25
09-Jul-07,4.5
03-Dec-07,4.25
21-Jan-08,4
03-Mar-08,3.5
21-Apr-08,3
07-Oct-08,2.5
20-Oct-08,2.25
08-Dec-08,1.5
19-Jan-09,1
02-Mar-09,0.5
20-Apr-09,0.25
31-May-10,0.5
19-Jul-10,0.75
07-Sep-10,1
20-Jan-15,0.75
14-Jul-15,0.5
11-Jul-17,0.75
05-Sep-17,1
16-Jan-18,1.25
10-Jul-18,1.5
23-Oct-18,1.75
03-Mar-20,1.25
15-Mar-20,0.75
26-Mar-20,0.25
02-Mar-22,0.5
13-Apr-22,1
01-Jun-22,1.5
13-Jul-22,2.5
07-Sep-22,3.25
26-Oct-22,3.75
07-Dec-22,4.25
25-Jan-23,4.5
07-Jun-23,4.75
12-Jul-23,5
05-Jun-24,4.75
24-Jul-24,4.5
