date,Federal funds effective rate,30-Day AA Nonfinancial Commercial Paper Interest Rate,60-Day AA Nonfinancial Commercial Paper Interest Rate,90-Day AA Nonfinancial Commercial Paper Interest Rate,30-Day AA Financial Commercial Paper Interest Rate,60-Day AA Financial Commercial Paper Interest Rate,90-Day AA Financial Commercial Paper Interest Rate,"Average majority prime rate charged by banks   on short-term loans to business,   quoted on an investment basis",The rate charged for primary credit under   amendment to the Board's Regulation A,4-week Treasury bill secondary market rate   discount basis,3-month Treasury bill secondary market rate   discount basis,6-month Treasury bill secondary market rate   discount basis,1-year Treasury bill secondary market rate^  discount basis,"Market yield on U.S. Treasury securities at 1-month   constant maturity, quoted on investment basis","Market yield on U.S. Treasury securities at 3-month   constant maturity, quoted on investment basis","Market yield on U.S. Treasury securities at 6-month   constant maturity, quoted on investment basis","Market yield on U.S. Treasury securities at 1-year   constant maturity, quoted on investment basis","Market yield on U.S. Treasury securities at 2-year   constant maturity, quoted on investment basis","Market yield on U.S. Treasury securities at 3-year   constant maturity, quoted on investment basis","Market yield on U.S. Treasury securities at 5-year   constant maturity, quoted on investment basis","Market yield on U.S. Treasury securities at 7-year   constant maturity, quoted on investment basis","Market yield on U.S. Treasury securities at 10-year   constant maturity, quoted on investment basis","Market yield on U.S. Treasury securities at 20-year   constant maturity, quoted on investment basis","Market yield on U.S. Treasury securities at 30-year   constant maturity, quoted on investment basis","Market yield on U.S. Treasury securities at 5-year   constant maturity, quoted on investment basis,   inflation-indexed","Market yield on U.S. Treasury securities at 7-year   constant maturity, quoted on investment basis,   inflation-indexed","Market yield on U.S. Treasury securities at 10-year   constant maturity, quoted on investment basis,   inflation-indexed","Market yield on U.S. Treasury securities at 20-year   constant maturity, quoted on investment basis,   inflation-indexed","Market yield on U.S. Treasury securities at 30-year^  constant maturity, quoted on investment basis,^  inflation-indexed",Treasury long-term average (over 10 years)
Jan-35,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,
Feb-35,,,,,,,,,,,0.19,,,,,,,,,,,,,,,,,,,
Mar-35,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,
Apr-35,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,
May-35,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,
Jun-35,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,
Jul-35,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,
Aug-35,,,,,,,,,,,0.16,,,,,,,,,,,,,,,,,,,
Sep-35,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,
Oct-35,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,
Nov-35,,,,,,,,,,,0.16,,,,,,,,,,,,,,,,,,,
Dec-35,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,
Jan-36,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,
Feb-36,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,
Mar-36,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,
Apr-36,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,
May-36,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,
Jun-36,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,
Jul-36,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,
Aug-36,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,
Sep-36,,,,,,,,,,,0.16,,,,,,,,,,,,,,,,,,,
Oct-36,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,
Nov-36,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,
Dec-36,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,
Jan-37,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,
Feb-37,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,
Mar-37,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,
Apr-37,,,,,,,,,,,0.56,,,,,,,,,,,,,,,,,,,
May-37,,,,,,,,,,,0.41,,,,,,,,,,,,,,,,,,,
Jun-37,,,,,,,,,,,0.36,,,,,,,,,,,,,,,,,,,
Jul-37,,,,,,,,,,,0.28,,,,,,,,,,,,,,,,,,,
Aug-37,,,,,,,,,,,0.29,,,,,,,,,,,,,,,,,,,
Sep-37,,,,,,,,,,,0.31,,,,,,,,,,,,,,,,,,,
Oct-37,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,
Nov-37,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,
Dec-37,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,
Jan-38,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,
Feb-38,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,
Mar-38,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,
Apr-38,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,
May-38,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,
Jun-38,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,
Jul-38,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,
Aug-38,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,
Sep-38,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,
Oct-38,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,
Nov-38,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,
Dec-38,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,
Jan-39,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,
Feb-39,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,
Mar-39,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,
Apr-39,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,
May-39,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,
Jun-39,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,
Jul-39,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,
Aug-39,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,
Sep-39,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,
Oct-39,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,
Nov-39,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,
Dec-39,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,
Jan-40,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,
Feb-40,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,
Mar-40,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,
Apr-40,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,
May-40,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,
Jun-40,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,
Jul-40,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,
Aug-40,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,
Sep-40,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,
Oct-40,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,
Nov-40,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,
Dec-40,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,
Jan-41,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,
Feb-41,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,
Mar-41,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,
Apr-41,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,
May-41,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,
Jun-41,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,
Jul-41,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,
Aug-41,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,
Sep-41,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,
Oct-41,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,
Nov-41,,,,,,,,,,,0.28,,,,,,,,,,,,,,,,,,,
Dec-41,,,,,,,,,,,0.33,,,,,,,,,,,,,,,,,,,
Jan-42,,,,,,,,,,,0.27,,,,,,,,,,,,,,,,,,,
Feb-42,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,
Mar-42,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,
Apr-42,,,,,,,,,,,0.32,,,,,,,,,,,,,,,,,,,
May-42,,,,,,,,,,,0.37,,,,,,,,,,,,,,,,,,,
Jun-42,,,,,,,,,,,0.37,,,,,,,,,,,,,,,,,,,
Jul-42,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,
Aug-42,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,
Sep-42,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,
Oct-42,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,
Nov-42,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,
Dec-42,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,
Jan-43,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,
Feb-43,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,
Mar-43,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,
Apr-43,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,
May-43,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,
Jun-43,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,
Jul-43,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,
Aug-43,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,
Sep-43,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,
Oct-43,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,
Nov-43,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,
Dec-43,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,
Jan-44,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,
Feb-44,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,
Mar-44,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,
Apr-44,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,
May-44,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,
Jun-44,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,
Jul-44,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,
Aug-44,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,
Sep-44,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,
Oct-44,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,
Nov-44,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,
Dec-44,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,
Jan-45,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,
Feb-45,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,
Mar-45,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,
Apr-45,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,
May-45,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,
Jun-45,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,
Jul-45,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,
Aug-45,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,
Sep-45,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,
Oct-45,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,
Nov-45,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,
Dec-45,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,
Jan-46,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,
Feb-46,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,
Mar-46,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,
Apr-46,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,
May-46,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,
Jun-46,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,
Jul-46,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,
Aug-46,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,
Sep-46,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,
Oct-46,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,
Nov-46,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,
Dec-46,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,
Jan-47,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,
Feb-47,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,
Mar-47,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,
Apr-47,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,
May-47,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,
Jun-47,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,
Jul-47,,,,,,,,,,,0.66,,,,,,,,,,,,,,,,,,,
Aug-47,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,
Sep-47,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,
Oct-47,,,,,,,,,,,0.85,,,,,,,,,,,,,,,,,,,
Nov-47,,,,,,,,,,,0.92,,,,,,,,,,,,,,,,,,,
Dec-47,,,,,,,,,,,0.95,,,,,,,,,,,,,,,,,,,
Jan-48,,,,,,,,,,,0.97,,,,,,,,,,,,,,,,,,,
Feb-48,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Mar-48,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Apr-48,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
May-48,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Jun-48,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Jul-48,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Aug-48,,,,,,,,,,,1.06,,,,,,,,,,,,,,,,,,,
Sep-48,,,,,,,,,,,1.09,,,,,,,,,,,,,,,,,,,
Oct-48,,,,,,,,,,,1.12,,,,,,,,,,,,,,,,,,,
Nov-48,,,,,,,,,,,1.14,,,,,,,,,,,,,,,,,,,
Dec-48,,,,,,,,,,,1.16,,,,,,,,,,,,,,,,,,,
Jan-49,,,,,,,,2,,,1.17,,,,,,,,,,,,,,,,,,,
Feb-49,,,,,,,,2,,,1.17,,,,,,,,,,,,,,,,,,,
Mar-49,,,,,,,,2,,,1.17,,,,,,,,,,,,,,,,,,,
Apr-49,,,,,,,,2,,,1.17,,,,,,,,,,,,,,,,,,,
May-49,,,,,,,,2,,,1.17,,,,,,,,,,,,,,,,,,,
Jun-49,,,,,,,,2,,,1.17,,,,,,,,,,,,,,,,,,,
Jul-49,,,,,,,,2,,,1.02,,,,,,,,,,,,,,,,,,,
Aug-49,,,,,,,,2,,,1.04,,,,,,,,,,,,,,,,,,,
Sep-49,,,,,,,,2,,,1.07,,,,,,,,,,,,,,,,,,,
Oct-49,,,,,,,,2,,,1.05,,,,,,,,,,,,,,,,,,,
Nov-49,,,,,,,,2,,,1.08,,,,,,,,,,,,,,,,,,,
Dec-49,,,,,,,,2,,,1.1,,,,,,,,,,,,,,,,,,,
Jan-50,,,,,,,,2,,,1.07,,,,,,,,,,,,,,,,,,,
Feb-50,,,,,,,,2,,,1.12,,,,,,,,,,,,,,,,,,,
Mar-50,,,,,,,,2,,,1.12,,,,,,,,,,,,,,,,,,,
Apr-50,,,,,,,,2,,,1.15,,,,,,,,,,,,,,,,,,,
May-50,,,,,,,,2,,,1.16,,,,,,,,,,,,,,,,,,,
Jun-50,,,,,,,,2,,,1.15,,,,,,,,,,,,,,,,,,,
Jul-50,,,,,,,,2,,,1.16,,,,,,,,,,,,,,,,,,,
Aug-50,,,,,,,,2,,,1.2,,,,,,,,,,,,,,,,,,,
Sep-50,,,,,,,,2.08,,,1.3,,,,,,,,,,,,,,,,,,,
Oct-50,,,,,,,,2.25,,,1.31,,,,,,,,,,,,,,,,,,,
Nov-50,,,,,,,,2.25,,,1.36,,,,,,,,,,,,,,,,,,,
Dec-50,,,,,,,,2.25,,,1.34,,,,,,,,,,,,,,,,,,,
Jan-51,,,,,,,,2.44,,,1.34,,,,,,,,,,,,,,,,,,,
Feb-51,,,,,,,,2.5,,,1.36,,,,,,,,,,,,,,,,,,,
Mar-51,,,,,,,,2.5,,,1.4,,,,,,,,,,,,,,,,,,,
Apr-51,,,,,,,,2.5,,,1.47,,,,,,,,,,,,,,,,,,,
May-51,,,,,,,,2.5,,,1.55,,,,,,,,,,,,,,,,,,,
Jun-51,,,,,,,,2.5,,,1.45,,,,,,,,,,,,,,,,,,,
Jul-51,,,,,,,,2.5,,,1.56,,,,,,,,,,,,,,,,,,,
Aug-51,,,,,,,,2.5,,,1.62,,,,,,,,,,,,,,,,,,,
Sep-51,,,,,,,,2.5,,,1.63,,,,,,,,,,,,,,,,,,,
Oct-51,,,,,,,,2.62,,,1.54,,,,,,,,,,,,,,,,,,,
Nov-51,,,,,,,,2.75,,,1.56,,,,,,,,,,,,,,,,,,,
Dec-51,,,,,,,,2.85,,,1.73,,,,,,,,,,,,,,,,,,,
Jan-52,,,,,,,,3,,,1.57,,,,,,,,,,,,,,,,,,,
Feb-52,,,,,,,,3,,,1.54,,,,,,,,,,,,,,,,,,,
Mar-52,,,,,,,,3,,,1.59,,,,,,,,,,,,,,,,,,,
Apr-52,,,,,,,,3,,,1.57,,,,,,,,,,,,,,,,,,,
May-52,,,,,,,,3,,,1.67,,,,,,,,,,,,,,,,,,,
Jun-52,,,,,,,,3,,,1.7,,,,,,,,,,,,,,,,,,,
Jul-52,,,,,,,,3,,,1.81,,,,,,,,,,,,,,,,,,,
Aug-52,,,,,,,,3,,,1.83,,,,,,,,,,,,,,,,,,,
Sep-52,,,,,,,,3,,,1.71,,,,,,,,,,,,,,,,,,,
Oct-52,,,,,,,,3,,,1.74,,,,,,,,,,,,,,,,,,,
Nov-52,,,,,,,,3,,,1.85,,,,,,,,,,,,,,,,,,,
Dec-52,,,,,,,,3,,,2.09,,,,,,,,,,,,,,,,,,,
Jan-53,,,,,,,,3,,,1.96,,,,,,,,,,,,,,,,,,,
Feb-53,,,,,,,,3,,,1.97,,,,,,,,,,,,,,,,,,,
Mar-53,,,,,,,,3,,,2.01,,,,,,,,,,,,,,,,,,,
Apr-53,,,,,,,,3.03,,,2.19,,,,,,2.36,,2.51,2.62,,2.83,3.08,,,,,,,
May-53,,,,,,,,3.25,,,2.16,,,,,,2.48,,2.72,2.87,,3.05,3.18,,,,,,,
Jun-53,,,,,,,,3.25,,,2.11,,,,,,2.45,,2.74,2.94,,3.11,3.21,,,,,,,
Jul-53,,,,,,,,3.25,,,2.04,,,,,,2.38,,2.62,2.75,,2.93,3.12,,,,,,,
Aug-53,,,,,,,,3.25,,,2.04,,,,,,2.28,,2.58,2.8,,2.95,3.1,,,,,,,
Sep-53,,,,,,,,3.25,,,1.79,,,,,,2.2,,2.56,2.71,,2.87,3.07,,,,,,,
Oct-53,,,,,,,,3.25,,,1.38,,,,,,1.79,,2.23,2.43,,2.66,2.95,,,,,,,
Nov-53,,,,,,,,3.25,,,1.44,,,,,,1.67,,2.2,2.42,,2.68,2.95,,,,,,,
Dec-53,,,,,,,,3.25,,,1.6,,,,,,1.66,,2.07,2.32,,2.59,2.89,,,,,,,
Jan-54,,,,,,,,3.25,,,1.18,,,,,,1.41,,1.89,2.17,,2.48,2.8,,,,,,,
Feb-54,,,,,,,,3.25,,,0.97,,,,,,1.14,,1.63,2.04,,2.47,2.72,,,,,,,
Mar-54,,,,,,,,3.13,,,1.03,,,,,,1.13,,1.59,1.93,,2.37,2.61,,,,,,,
Apr-54,,,,,,,,3,,,0.97,,,,,,0.96,,1.54,1.87,,2.29,2.6,,,,,,,
May-54,,,,,,,,3,,,0.76,,,,,,0.85,,1.56,1.92,,2.37,2.66,,,,,,,
Jun-54,,,,,,,,3,,,0.64,,,,,,0.82,,1.53,1.92,,2.38,2.64,,,,,,,
Jul-54,0.8,,,,,,,3,,,0.72,,,,,,0.84,,1.47,1.85,,2.3,2.57,,,,,,,
Aug-54,1.22,,,,,,,3,,,0.92,,,,,,0.88,,1.49,1.9,,2.36,2.58,,,,,,,
Sep-54,1.07,,,,,,,3,,,1.01,,,,,,1.03,,1.6,1.96,,2.38,2.6,,,,,,,
Oct-54,0.85,,,,,,,3,,,0.98,,,,,,1.17,,1.72,2.02,,2.43,2.61,,,,,,,
Nov-54,0.83,,,,,,,3,,,0.93,,,,,,1.14,,1.75,2.09,,2.48,2.65,,,,,,,
Dec-54,1.28,,,,,,,3,,,1.15,,,,,,1.21,,1.81,2.16,,2.51,2.67,,,,,,,
Jan-55,1.39,,,,,,,3,,,1.22,,,,,,1.39,,1.99,2.32,,2.61,2.75,,,,,,,
Feb-55,1.29,,,,,,,3,,,1.17,,,,,,1.57,,2.12,2.38,,2.65,2.83,,,,,,,
Mar-55,1.35,,,,,,,3,,,1.28,,,,,,1.59,,2.26,2.48,,2.68,2.84,,,,,,,
Apr-55,1.43,,,,,,,3,,,1.59,,,,,,1.75,,2.37,2.55,,2.75,2.85,,,,,,,
May-55,1.43,,,,,,,3,,,1.45,,,,,,1.9,,2.37,2.56,,2.76,2.87,,,,,,,
Jun-55,1.64,,,,,,,3,,,1.41,,,,,,1.91,,2.39,2.59,,2.78,2.86,,,,,,,
Jul-55,1.68,,,,,,,3,,,1.6,,,,,,2.02,,2.51,2.72,,2.9,2.94,,,,,,,
Aug-55,1.96,,,,,,,3.23,,,1.9,,,,,,2.37,,2.72,2.86,,2.97,3.01,,,,,,,
Sep-55,2.18,,,,,,,3.25,,,2.07,,,,,,2.36,,2.69,2.85,,2.97,3,,,,,,,
Oct-55,2.24,,,,,,,3.4,,,2.23,,,,,,2.39,,2.62,2.76,,2.88,2.93,,,,,,,
Nov-55,2.35,,,,,,,3.5,,,2.24,,,,,,2.48,,2.73,2.81,,2.89,2.93,,,,,,,
Dec-55,2.48,,,,,,,3.5,,,2.54,,,,,,2.73,,2.88,2.93,,2.96,2.98,,,,,,,
Jan-56,2.45,,,,,,,3.5,,,2.41,,,,,,2.58,,2.78,2.84,,2.9,2.94,,,,,,,
Feb-56,2.5,,,,,,,3.5,,,2.32,,,,,,2.49,,2.67,2.74,,2.84,2.91,,,,,,,
Mar-56,2.5,,,,,,,3.5,,,2.25,,,,,,2.61,,2.89,2.93,,2.96,2.99,,,,,,,
Apr-56,2.62,,,,,,,3.65,,,2.6,,,,,,2.92,,3.19,3.2,,3.18,3.14,,,,,,,
May-56,2.75,,,,,,,3.75,,,2.61,,,,,,2.94,,3.08,3.08,,3.07,3.06,,,,,,,
Jun-56,2.71,,,,,,,3.75,,,2.49,,,,,,2.74,,2.95,2.97,,3,3,,,,,,,
Jul-56,2.75,,,,,,,3.75,,,2.31,,,,,,2.76,,3.06,3.12,,3.11,3.08,,,,,,,
Aug-56,2.73,,,,,,,3.84,,,2.6,,,,,,3.1,,3.39,3.41,,3.33,3.22,,,,,,,
Sep-56,2.95,,,,,,,4,,,2.84,,,,,,3.35,,3.5,3.47,,3.38,3.28,,,,,,,
Oct-56,2.96,,,,,,,4,,,2.9,,,,,,3.28,,3.4,3.4,,3.34,3.26,,,,,,,
Nov-56,2.88,,,,,,,4,,,2.99,,,,,,3.44,,3.57,3.56,,3.49,3.37,,,,,,,
Dec-56,2.94,,,,,,,4,,,3.21,,,,,,3.68,,3.76,3.7,,3.59,3.45,,,,,,,
Jan-57,2.84,,,,,,,4,,,3.11,,,,,,3.37,,3.46,3.47,,3.46,3.41,,,,,,,
Feb-57,3,,,,,,,4,,,3.1,,,,,,3.38,,3.42,3.39,,3.34,3.3,,,,,,,
Mar-57,2.96,,,,,,,4,,,3.08,,,,,,3.42,,3.47,3.46,,3.41,3.32,,,,,,,
Apr-57,3,,,,,,,4,,,3.07,,,,,,3.49,,3.53,3.53,,3.48,3.4,,,,,,,
May-57,3,,,,,,,4,,,3.06,,,,,,3.48,,3.61,3.64,,3.6,3.49,,,,,,,
Jun-57,3,,,,,,,4,,,3.29,,,,,,3.65,,3.8,3.83,,3.8,3.65,,,,,,,
Jul-57,2.99,,,,,,,4,,,3.16,,,,,,3.81,,3.96,4,,3.93,3.72,,,,,,,
Aug-57,3.24,,,,,,,4.42,,,3.37,,,,,,4.01,,4.02,4,,3.93,3.75,,,,,,,
Sep-57,3.47,,,,,,,4.5,,,3.53,,,,,,4.07,,4.06,4.03,,3.92,3.73,,,,,,,
Oct-57,3.5,,,,,,,4.5,,,3.58,,,,,,4.01,,4.09,4.08,,3.97,3.76,,,,,,,
Nov-57,3.28,,,,,,,4.5,,,3.31,,,,,,3.57,,3.7,3.72,,3.72,3.61,,,,,,,
Dec-57,2.98,,,,,,,4.5,,,3.04,,,,,,3.18,,3.11,3.08,,3.21,3.38,,,,,,,
