date,AUD/CAD,BRL/CAD,CHF/CAD,CNY/CAD,EUR/CAD,GBP/CAD,HKD/CAD,IDR/CAD,INR/CAD,JPY/CAD,KRW/CAD,MXN/CAD,MYR/CAD,NOK/CAD,NZD/CAD,PEN/CAD,RUB/CAD,SEK/CAD,SGD/CAD,THB/CAD,TRY/CAD,TWD/CAD,USD/CAD,VND/CAD,ZAR/CAD
1999-01,0.9607,1.0364,1.0966,0.1835,1.7615,2.506975,0.1961,0.000179,0.03575,0.013408,0.001294,0.15005,0.3999,0.2038,0.8188,0.4676,0.06608,0.1944,0.9048,0.04154,,0.04712,1.51891,,0.2534
1999-02,0.9589,0.7822,1.0495,0.1809,1.6778,2.43718,0.19323,0.000171,0.03525,0.012852,0.001262,0.14978,0.3942,0.194,0.8144,0.441,0.0648,0.1884,0.8809,0.04039,,0.04607,1.497045,,0.245
1999-03,0.9575,0.8022,1.0356,0.1833,1.6521,2.46118261,0.195813,0.00017,0.03576,0.012705,0.001236,0.15601,0.3995,0.1943,0.8077,0.4489,0.06326,0.1848,0.8776,0.04048,,0.04581,1.51757391,,0.2444
1999-04,0.9564,0.8764,0.9932,0.1797,1.5913,2.39376667,0.191924,0.000173,0.03481,0.012424,0.001235,0.15783,0.3915,0.1913,0.8082,0.4446,0.05862,0.1786,0.8687,0.03955,,0.0453,1.48666667,,0.2432
1999-05,0.9686,0.8683,0.9692,0.1766,1.5531,2.362105,0.18857,0.000184,0.03417,0.011997,0.001222,0.15547,0.3848,0.1886,0.808,0.439,0.05916,0.1731,0.854,0.03952,,0.04464,1.46213,,0.2364
1999-06,0.9643,0.8322,0.9557,0.1775,1.5245,2.34344545,0.189364,0.0002,0.03409,0.01217,0.001258,0.15449,0.3867,0.1866,0.7834,0.4402,0.0601,0.1728,0.8587,0.03981,,0.04525,1.46918182,,0.2414
1999-07,0.9769,0.8266,0.9627,0.1799,1.5443,2.34548095,0.191862,0.00022,0.03439,0.012479,0.001253,0.15899,0.3919,0.1885,0.7835,0.4481,0.06113,0.1765,0.878,0.04012,,0.0461,1.48867619,,0.2435
1999-08,0.962,0.7908,0.9885,0.1803,1.5826,2.39634762,0.192214,0.000201,0.03434,0.013192,0.001246,0.15885,0.3928,0.1913,0.7858,0.4438,0.06016,0.1807,0.8891,0.03921,,0.04666,1.4918,,0.2436
1999-09,0.9593,0.7783,0.9678,0.1784,1.5505,2.39953333,0.190181,0.000179,0.03393,0.013824,0.001231,0.15814,0.3887,0.1886,0.7727,0.4319,0.05785,0.1796,0.8705,0.03692,,0.04652,1.47679524,,0.2438
1999-10,0.9619,0.7504,0.9921,0.1785,1.5817,2.448545,0.190146,0.000198,0.03399,0.013945,0.001226,0.15434,0.3888,0.1909,0.76,0.4255,0.0572,0.1813,0.8819,0.03753,,0.04657,1.477075,,0.2422
1999-11,0.9374,0.7605,0.9438,0.1773,1.5149,2.37818095,0.188833,0.00021,0.03382,0.014027,0.001248,0.15596,0.3862,0.1849,0.7521,0.4214,0.05565,0.1756,0.8788,0.03789,,0.04628,1.46740476,,0.239
1999-12,0.9438,0.7987,0.9305,0.178,1.4899,2.37652381,0.189544,0.000206,0.0339,0.014356,0.001297,0.1564,0.3878,0.1839,0.7484,0.4232,0.05472,0.1735,0.8797,0.03852,,0.04668,1.47295238,,0.2397
2000-01,0.9513,0.8032,0.9111,0.175,1.4676,2.377495,0.186235,0.000199,0.03328,0.013743,0.001282,0.15264,0.3814,0.1806,0.7426,0.4141,0.05113,0.1707,0.8647,0.03877,,0.04712,1.44817,,0.2366
